start
Train Epoch: 1, Train loss: 0.7465, Time taken: 55.4782, Train Accuracy: 83.9373, Test loss: 0.0001, Test Accuracy: 98.9136
Train Epoch: 2, Train loss: 0.0654, Time taken: 55.2152, Train Accuracy: 99.0326, Test loss: 0.0001, Test Accuracy: 99.5056
Train Epoch: 3, Train loss: 0.0381, Time taken: 55.9402, Train Accuracy: 99.4486, Test loss: 0.0001, Test Accuracy: 99.5117
Train Epoch: 4, Train loss: 0.0327, Time taken: 54.0750, Train Accuracy: 99.5432, Test loss: 0.0000, Test Accuracy: 99.8108
Train Epoch: 5, Train loss: 0.0174, Time taken: 55.1578, Train Accuracy: 99.7498, Test loss: 0.0000, Test Accuracy: 99.8871
Train Epoch: 6, Train loss: 0.0186, Time taken: 55.8295, Train Accuracy: 99.7477, Test loss: 0.0001, Test Accuracy: 99.6216
Train Epoch: 7, Train loss: 0.0162, Time taken: 54.4810, Train Accuracy: 99.7935, Test loss: 0.0001, Test Accuracy: 99.4843
Train Epoch: 8, Train loss: 0.0194, Time taken: 52.8777, Train Accuracy: 99.7528, Test loss: 0.0000, Test Accuracy: 99.9207
Train Epoch: 9, Train loss: 0.0211, Time taken: 54.3923, Train Accuracy: 99.7416, Test loss: 0.0000, Test Accuracy: 99.9298
Train Epoch: 10, Train loss: 0.0118, Time taken: 54.1328, Train Accuracy: 99.8576, Test loss: 0.0000, Test Accuracy: 99.9268
Train Epoch: 11, Train loss: 0.0030, Time taken: 55.3514, Train Accuracy: 99.9715, Test loss: 0.0000, Test Accuracy: 99.9817
Train Epoch: 12, Train loss: 0.0013, Time taken: 54.5152, Train Accuracy: 99.9847, Test loss: 0.0000, Test Accuracy: 99.9817
Train Epoch: 13, Train loss: 0.0011, Time taken: 54.9806, Train Accuracy: 99.9858, Test loss: 0.0000, Test Accuracy: 99.9786
Train Epoch: 14, Train loss: 0.0009, Time taken: 53.4967, Train Accuracy: 99.9888, Test loss: 0.0000, Test Accuracy: 99.9817
Train Epoch: 15, Train loss: 0.0010, Time taken: 54.0993, Train Accuracy: 99.9898, Test loss: 0.0000, Test Accuracy: 99.9847
Train Epoch: 16, Train loss: 0.0010, Time taken: 55.9716, Train Accuracy: 99.9878, Test loss: 0.0000, Test Accuracy: 99.9908
Train Epoch: 17, Train loss: 0.0013, Time taken: 55.0036, Train Accuracy: 99.9807, Test loss: 0.0000, Test Accuracy: 99.9725
Train Epoch: 18, Train loss: 0.0012, Time taken: 55.0731, Train Accuracy: 99.9858, Test loss: 0.0000, Test Accuracy: 99.9725
Train Epoch: 19, Train loss: 0.0012, Time taken: 54.1412, Train Accuracy: 99.9817, Test loss: 0.0000, Test Accuracy: 99.9847
Train Epoch: 20, Train loss: 0.0007, Time taken: 54.6745, Train Accuracy: 99.9888, Test loss: 0.0000, Test Accuracy: 99.9908
Train Epoch: 21, Train loss: 0.0007, Time taken: 54.8819, Train Accuracy: 99.9908, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 22, Train loss: 0.0006, Time taken: 54.9041, Train Accuracy: 99.9919, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 23, Train loss: 0.0006, Time taken: 54.9223, Train Accuracy: 99.9888, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 24, Train loss: 0.0006, Time taken: 55.2407, Train Accuracy: 99.9898, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 25, Train loss: 0.0006, Time taken: 53.6802, Train Accuracy: 99.9908, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 26, Train loss: 0.0006, Time taken: 53.8371, Train Accuracy: 99.9919, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 27, Train loss: 0.0006, Time taken: 54.7000, Train Accuracy: 99.9908, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 28, Train loss: 0.0006, Time taken: 55.1842, Train Accuracy: 99.9919, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 29, Train loss: 0.0006, Time taken: 52.7588, Train Accuracy: 99.9908, Test loss: 0.0000, Test Accuracy: 99.9939
Train Epoch: 30, Train loss: 0.0006, Time taken: 55.2854, Train Accuracy: 99.9898, Test loss: 0.0000, Test Accuracy: 99.9908
