start
Train Epoch: 1, Train loss: 0.0423, Time taken: 0.7770, Train Accuracy: 57.6923, Test loss: 0.0152, Test Accuracy: 59.0909
Train Epoch: 2, Train loss: 0.0382, Time taken: 0.6626, Train Accuracy: 64.6154, Test loss: 0.0153, Test Accuracy: 56.8182
Train Epoch: 3, Train loss: 0.0364, Time taken: 0.6597, Train Accuracy: 68.4615, Test loss: 0.0158, Test Accuracy: 59.0909
Train Epoch: 4, Train loss: 0.0336, Time taken: 0.6564, Train Accuracy: 72.3077, Test loss: 0.0176, Test Accuracy: 61.3636
Train Epoch: 5, Train loss: 0.0301, Time taken: 0.6612, Train Accuracy: 73.8462, Test loss: 0.0190, Test Accuracy: 54.5455
Train Epoch: 6, Train loss: 0.0270, Time taken: 0.6607, Train Accuracy: 82.3077, Test loss: 0.0214, Test Accuracy: 54.5455
Train Epoch: 7, Train loss: 0.0233, Time taken: 0.6556, Train Accuracy: 83.8462, Test loss: 0.0232, Test Accuracy: 54.5455
Train Epoch: 8, Train loss: 0.0200, Time taken: 0.6582, Train Accuracy: 86.1538, Test loss: 0.0241, Test Accuracy: 54.5455
Train Epoch: 9, Train loss: 0.0154, Time taken: 0.6603, Train Accuracy: 90.7692, Test loss: 0.0242, Test Accuracy: 56.8182
Train Epoch: 10, Train loss: 0.0115, Time taken: 0.6616, Train Accuracy: 96.1538, Test loss: 0.0251, Test Accuracy: 56.8182
Train Epoch: 11, Train loss: 0.0080, Time taken: 0.6670, Train Accuracy: 97.6923, Test loss: 0.0252, Test Accuracy: 56.8182
Train Epoch: 12, Train loss: 0.0079, Time taken: 0.6704, Train Accuracy: 97.6923, Test loss: 0.0253, Test Accuracy: 56.8182
Train Epoch: 13, Train loss: 0.0070, Time taken: 0.6604, Train Accuracy: 99.2308, Test loss: 0.0255, Test Accuracy: 56.8182
Train Epoch: 14, Train loss: 0.0059, Time taken: 0.6619, Train Accuracy: 99.2308, Test loss: 0.0257, Test Accuracy: 56.8182
Train Epoch: 15, Train loss: 0.0058, Time taken: 0.6589, Train Accuracy: 99.2308, Test loss: 0.0261, Test Accuracy: 56.8182
Train Epoch: 16, Train loss: 0.0054, Time taken: 0.6621, Train Accuracy: 99.2308, Test loss: 0.0264, Test Accuracy: 56.8182
Train Epoch: 17, Train loss: 0.0047, Time taken: 0.6641, Train Accuracy: 99.2308, Test loss: 0.0267, Test Accuracy: 59.0909
Train Epoch: 18, Train loss: 0.0043, Time taken: 0.6614, Train Accuracy: 99.2308, Test loss: 0.0270, Test Accuracy: 59.0909
Train Epoch: 19, Train loss: 0.0040, Time taken: 0.6594, Train Accuracy: 99.2308, Test loss: 0.0272, Test Accuracy: 56.8182
Train Epoch: 20, Train loss: 0.0037, Time taken: 0.6598, Train Accuracy: 99.2308, Test loss: 0.0276, Test Accuracy: 56.8182
Train Epoch: 21, Train loss: 0.0031, Time taken: 0.6597, Train Accuracy: 99.2308, Test loss: 0.0276, Test Accuracy: 56.8182
Train Epoch: 22, Train loss: 0.0035, Time taken: 0.6625, Train Accuracy: 99.2308, Test loss: 0.0276, Test Accuracy: 56.8182
Train Epoch: 23, Train loss: 0.0034, Time taken: 0.6614, Train Accuracy: 99.2308, Test loss: 0.0276, Test Accuracy: 56.8182
Train Epoch: 24, Train loss: 0.0033, Time taken: 0.6624, Train Accuracy: 99.2308, Test loss: 0.0277, Test Accuracy: 56.8182
Train Epoch: 25, Train loss: 0.0033, Time taken: 0.6635, Train Accuracy: 99.2308, Test loss: 0.0277, Test Accuracy: 56.8182
Train Epoch: 26, Train loss: 0.0035, Time taken: 0.6643, Train Accuracy: 99.2308, Test loss: 0.0277, Test Accuracy: 56.8182
Train Epoch: 27, Train loss: 0.0033, Time taken: 0.6635, Train Accuracy: 99.2308, Test loss: 0.0278, Test Accuracy: 56.8182
Train Epoch: 28, Train loss: 0.0031, Time taken: 0.6651, Train Accuracy: 99.2308, Test loss: 0.0278, Test Accuracy: 56.8182
Train Epoch: 29, Train loss: 0.0034, Time taken: 0.6650, Train Accuracy: 99.2308, Test loss: 0.0279, Test Accuracy: 56.8182
Train Epoch: 30, Train loss: 0.0030, Time taken: 0.6663, Train Accuracy: 99.2308, Test loss: 0.0279, Test Accuracy: 56.8182
